user_input,reference,retrieved_contexts,response,metadata,source_doc,source_pages,qa_type
"During the Carbonio 25.12.0 manual upgrade, what should you answer when prompted to replace localconfig.xml and why?",Answer NO (default) to keep the existing localconfig.xml; replacing it can overwrite critical configuration parameters and cause the upgrade to fail and service disruption.,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[14, 16]"", ""qa_type"": ""single-hop""}",admin_guide,"[14, 16]",single-hop
"After upgrading packages, which command registers upgraded packages to Carbonio Mesh?",pending-setups -a,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[17]"", ""qa_type"": ""single-hop""}",admin_guide,[17],single-hop
"After upgrading, how do you reinitialize the Message Dispatcher database and restart the service?","Set DB_ADM_PWD to the PostgreSQL admin password, run PGPASSWORD=$DB_ADM_PWD carbonio-message-dispatcher-migration carbonio_adm 127.78.0.10 20000, then restart with systemctl restart carbonio-message-dispatcher.",[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[17]"", ""qa_type"": ""multi-hop""}",admin_guide,[17],multi-hop
"When upgrading from older versions, what command bootstraps the new backup database on the Database Node?",PGPASSWORD=$DB_ADM_PWD carbonio-mailbox-db-bootstrap carbonio_adm 127.0.0.1,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[18]"", ""qa_type"": ""single-hop""}",admin_guide,[18],single-hop
How can a user signing in in the Carbonio web client?,"Open Your Browser: Startbyopeningyourwebbrowser(like Chrome,Firefox,or Safari).; Enter the Webmail Address: In the address bar at the top of your browser, type in your company’s webmail; Sign In: Once you have reached the webmail page, you will see a login screen. Enter your username (usually in; Click LOGIN:Afterenteringyourcredentials,clickthe LOGINbutton. Thiswillverifyyouridentity.; Access Your Webmail: Youwillnowberedirectedtoyourwebmailinterface. Fromhere,youcaneasilyreadand; Watch Out for 2 FA: Sometimes, you might encounter a second-factor authentication (2 FA) prompt after your",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[5]"", ""qa_type"": ""single-hop""}",user_guide,[5],single-hop
How can a user using saml to sign in in the Carbonio web client?,2.3 3. Option A — Using an Authenticator App; 2.4 4. Option B — Using PIN Codes; 2.5 5. Logging In with 2 FA; First Flow:; 3. Using SAML to Sign In 3,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[7]"", ""qa_type"": ""single-hop""}",user_guide,[7],single-hop
How can a user signing out in the Carbonio web client?,Second Flow:; Usingthe Account Icon:; Via General Settings:,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[8]"", ""qa_type"": ""single-hop""}",user_guide,[8],single-hop
How can a user changing your password in the Carbonio web client?,"Clickonthe Forget Password?Button,fromtheloginpage.; Enteryourusername.; Youwillreceiveanemailatyourrecoveryemailaddress.; Atemporary validation code,thatexpiresintwenty-fourhours,willbesenttotherecoverye-mailaddress.; Copyitandinsertit,thenclickthe VALIDATECODEbutton.; Ifthecodeisvalidated,youcan CONTINUEWITHYOURSESSION,accessyourmailboxandthenaddanew",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[9]"", ""qa_type"": ""single-hop""}",user_guide,[9],single-hop
How can a user introduction of carbonio web client in the Carbonio web client?,"Left Sidebar: This section provides navigation options and quick access to various features such as Mails, Cal-; Navigation Panel: Here, you will find additional context related to the active feature you have selected from the; Main Panel: Thecentralareadisplaysyouractualcontentrelatedtotheactivefeatureyouhaveselectedfromthe",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[10]"", ""qa_type"": ""single-hop""}",user_guide,[10],single-hop
How can a user using browser buttons to navigate carbonio in the Carbonio web client?,"Back Button: Youcanuseyourbrowser’sbackbuttontoreturntothepreviouspageyouwereviewingon Carbonio.; Forward Button: Ifyouhavegonebackandwanttorevisitapageyoujustleft,clicktheforwardbutton.; Avoid Reload/Refresh: Becautiouswiththereloadorrefreshbutton. Clickingitrestartsyoursession,whichcan; Toactivate Dark mode,followthesesteps:; Todisable Dark mode,followthesesteps:; Ifyouchoose Auto,Carboniowilladapttoyour operating system’s default theme. Forexample:",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[11]"", ""qa_type"": ""single-hop""}",user_guide,[11],single-hop
How can a user changing font size in the Carbonio web client?,"Openthe Settings(gearicon)fromtheleftsidebar.; Select General Settings.; Underthe Appearancesection,findthesliderforadjustingthefontsize.; Ifyouwanttomanuallycontrolthefontsize,unchecktheoptionthatsays Automatically resize the text size depending; Usetheslidertosetthefontsizetoyourpreference. Asyoumovetheslider,youwillseetheresultsinthebottom; Onceyouaresatisfied,click SAVEinthetoprightcorner.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[12]"", ""qa_type"": ""single-hop""}",user_guide,[12],single-hop
How can a user changing your time zone in the Carbonio web client?,Openthe Settings(gearicon)fromtheleftsidebar.; Select General Settings.; Under the Time Zone and Languagesection select the dropdown menu for Time Zoneand choose your time; Click SAVEinthetoprightcorner.; 12. Changing Your Time Zone 9,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[13]"", ""qa_type"": ""single-hop""}",user_guide,[13],single-hop
How can a user changing carbonio language in the Carbonio web client?,Openthe Settings(gearicon)fromtheleftsidebar.; Select General Settings.; Underthe Time Zoneand Language sectionselectthedropdownmenufor Languageandchooseyourlanguage.; Click SAVEinthetoprightcorner.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[14]"", ""qa_type"": ""single-hop""}",user_guide,[14],single-hop
How can a user reading emails in the Carbonio web client?,Select Mailswiththeemailiconfromtheleftsidebar.; Clickonafolderonthenavigationpanel.; Selecttheemailfromthemainpanel.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[17]"", ""qa_type"": ""single-hop""}",user_guide,[17],single-hop
How can a user changing email visualization method in the Carbonio web client?,"Navigatetothe Settings(Gearicon)fromtheleftsidebar.; Accessthe Mailssection.; Underthe Visualization Optionsselectyourpreferredviewingmode,either By Conversation or By Message.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[20]"", ""qa_type"": ""single-hop""}",user_guide,[20],single-hop
How can a user previewing attachments in the Carbonio web client?,"Openthemessagecontainingtheattachment.; Clickontheattachment’snametoopenit,provideditisoneofthefollowingfileformats: PDF,ODT,ODS,ODP,; Opentheemailthatincludestheattachment.; Hoveryourmousecursorontheattachmenttorevealthe Delete icon. Clickonittoremovetheattachment.; 7. Previewing Attachments 17",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[21]"", ""qa_type"": ""single-hop""}",user_guide,[21],single-hop
How can a user saving attachments in your carbonio files in the Carbonio web client?,"Opentheemailcontainingtheattachment.; Undertheattachment,click Save to Files. Thiswillopenawindow,enablingyoutospecifythedestinationfolder; Right-clickontheemailorconversationyouwanttoremove.; Choosethe Deleteoptionfromthemenu.; Thedeletedemailswillthenbemovedtoyour Trash folder.; 10. Saving Attachments in Your Carbonio Files 19",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[23]"", ""qa_type"": ""single-hop""}",user_guide,[23],single-hop
How can a user recovering messages in the Carbonio web client?,Clickonthe gear iconintheleftpanel.; Clickonthe ‘Mails’optionandscrolldowntothe ‘Recover Messages’section.; Enterakeywordand/orthedateoftheemailyouwishtorecover.; Clickon‘Search E-mails’andthenon ‘Start Search’inthepop-upwindowthatwillappear.; Select the email you intend to recover by ticking the flag and click the‘Recover Selected E-mails’button in the; Clickon ‘Start Recovery’inthepop-upwindowthatappears.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[24]"", ""qa_type"": ""single-hop""}",user_guide,[24],single-hop
How can a user marking an email as unread in the Carbonio web client?,"Right-clickontheemailyouwishtomarkasunread.; Fromthemenuthatappears,select Mark as unread.; Noticehowtheemail’ssubjectlinenowappearsinboldfont.; Right-clickontheemailorconversationyouwishtoprint.; Selectthe Printoptionfromthemenu.; Anewtabwillopeninyourbrowserdisplayingtheemail,alongwithawindowforadjustingprintersettings. Make",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[25]"", ""qa_type"": ""single-hop""}",user_guide,[25],single-hop
How can a user actions on multiple emails at once in the Carbonio web client?,Clickonthecheckmarkiconatthetopleftcornerofyourmainpaneltoenterselectionmode.; Selecttheemptycirclesbesideeachemailyouwishtochoose.; Clickonthethreeverticaldotsiconatthetoprightcorneroftheemaillist.; Choosetheactionyouwanttoperform.; Selectmultipleemailsasdescribedabove.; Clickonthetrashiconatthetoprightcornerofyouremaillist.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[26]"", ""qa_type"": ""single-hop""}",user_guide,[26],single-hop
How can a user sorting emails in the Carbonio web client?,"Toinitiatesorting,clickonthe sorting iconlocatedinthetoprightcornerofyouremaillist.; Chooseyourpreferredsortingcriterionfromtheoptionsprovided.; Onceselected,clickonthesortingiconagaintotogglebetweenascendinganddescendingorderasperyourpref-; 16. Sorting Emails 23",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[27]"", ""qa_type"": ""single-hop""}",user_guide,[27],single-hop
How can a user composing a new email in the Carbonio web client?,"Selectthe Mailsfeaturefromyourleftsidebar.; Clickonthe NEW buttonlocatedonthetopbar. Anewcomposeboardwillappear.; Enterrecipientemailaddressesinthe To field.; Optionally,addrecipientstothe Cc or Bcc fields.; Chooseyouremail identity/persona(ifyouhavemorethanone)fromthetopleftcornerofthecomposingboard.; Writeabriefsubjectinthe Subject field.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[29]"", ""qa_type"": ""single-hop""}",user_guide,[29],single-hop
How can a user disabling / enabling rich text editor in the Carbonio web client?,Lookforthe[Empty‘To’Field]labelinyourmessagelist; Openanyemailshowingthisplaceholdertoviewdetails; Thesamelabelwillappearinthemessagedisplayerforconfirmation; Usethisvisualcuetounderstandtheemail’srecipientdistribution; Clickonthethreeverticaldots.; Chooseeither Disable rich text editoror Enable rich text editorfromthemenu.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[30]"", ""qa_type"": ""single-hop""}",user_guide,[30],single-hop
How can a user attachments in the Carbonio web client?,"Clickonthepaperclipicon.; Select Addfromlocal.; Anewwindowappears,andyoucanselectdesiredfilesfromyourcomputer.; Clickonthepaperclipicon.; Select Addfrom Files.; Anewwindowappears,andyoucanselectdesiredfilesfromyour Carbonio Files.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[32]"", ""qa_type"": ""single-hop""}",user_guide,[32],single-hop
How can a user removing attachments in the Carbonio web client?,Clickonyouremailaddresslocatedatthe top left cornerofthecomposingboard.; Chooseyourpreferredidentityorpersonafromthemenu.; Clickonthe three vertical dotslocatedwithinthecomposingboardatthetoprightcorner.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[34]"", ""qa_type"": ""single-hop""}",user_guide,[34],single-hop
How can a user mark an email as important in the Carbonio web client?,"Select Request read receipt.; Clickonthe three vertical dotslocatedwithinthecomposingboardatthetoprightcorner.; Choose Markasimportant.; Clickonthe“ x”buttonlocatedatthetoprightcornerofthecomposingboard.; Anewwindowwillopen,thenclickonthe SAVE DRAFTbutton.; Youremailwillbesavedinthe Draftfolderaccessiblefromyournavigationpanel.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[35]"", ""qa_type"": ""single-hop""}",user_guide,[35],single-hop
How can a user send a drafted email in the Carbonio web client?,"Clickonthe Draftfolderinthenavigationpanel.; Locateyourdesiredemailinthemainpanel.; Toedittheemailbeforesendingit,double-clickonit. Alternatively,youcanclickonitoncetoreviewitfromthe; Tosendtheemail,simplyclickonthesendbuttonlocatedatthetoprightcornerofthemainpanel.; Locatetheemailintheemaillist.; Right-clickontheemail.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[36]"", ""qa_type"": ""single-hop""}",user_guide,[36],single-hop
How can a user reply and reply all in the Carbonio web client?,"Locatetheemailintheemaillist.; Right-clickontheemail.; Fromthemenuthatappears,select Forward.; Anewcomposingboardwillappear,allowingyoutoaddressnewrecipients.; Locatetheemailintheemaillist.; Right-clickontheemail.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[37]"", ""qa_type"": ""single-hop""}",user_guide,[37],single-hop
How can a user using tags in the Carbonio web client?,"Fromtheleftsidebarclickonthe Mailssection.; Inthe Navigation Panelofthemailssection,locatethe Tagssection.; Clickonthedownwardarrowiconlocatednexttothe Tagssection.; Thisactionwillexpandorrevealyourtags.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[39]"", ""qa_type"": ""single-hop""}",user_guide,[39],single-hop
How can a user creating a tag in the Carbonio web client?,"Fromtheleftsidebarclickonthe Mailssection.; Inthe Navigation Panelofthemailssection,locatethe Tagsoption.; Right-clickonthe Tagsoption.; Fromthedropdownmenu,select Create Tag.; Adialogboxwillappear. Insertanameforthenewtag.; Chooseacolorforthetagfromtheoptionsprovided.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[40]"", ""qa_type"": ""single-hop""}",user_guide,[40],single-hop
How can a user displaying emails with a speciﬁc tag in the Carbonio web client?,Fromtheleftsidebarclickonthe Mailssection.; Locatethe Tagssectionwithinthe Navigation Panel.; Clickonthedownwardarrowiconlocatednexttothe Tagssectiontoopenthelistoftags.; Clickonthetagthatyouwanttofindemailsfor.; Allmessageswiththeselectedtagwillbedisplayedinthe Main Panel.; Right-clickontheemailtoopenthedropdownmenu.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[41]"", ""qa_type"": ""single-hop""}",user_guide,[41],single-hop
How can a user changing a tag color in the Carbonio web client?,"Right-clickonthetagyouneedtoeditfromthe Tagssection.; Fromthedropdownmenu,select Edit Tag.; Adialogboxwillappear. Chooseacolorforthetagfromtheoptionsprovided.; Clickonthe EDITbutton.; Right-clickonthetagyouneedtoeditfromthe Tagssection.; Fromthedropdownmenu,select Edit Tag.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[42]"", ""qa_type"": ""single-hop""}",user_guide,[42],single-hop
How can a user removing flag from an email in the Carbonio web client?,Right-clickontheemail.; Fromthedropdownmenuselect Remove Flag.; 10. Removing Flag from an Email 39,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[43]"", ""qa_type"": ""single-hop""}",user_guide,[43],single-hop
How can a user creating new folder in the Carbonio web client?,"Navigatetothe Mailsectionfromtheleftsidebar.; Right-clickonafolder.; Select New Folderfromthedropdownmenu.; Provideanameforthenewfolder.; Finally,click CREATEtoconfirmyourfoldercreation.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[44]"", ""qa_type"": ""single-hop""}",user_guide,[44],single-hop
How can a user assigning a color to a folder in the Carbonio web client?,Navigatetothe Mailsectionfromtheleftsidebar.; Right-clickonafolder.; Clickon Edit.; Anewdialogueboxwillappear. Clickonthe Select Colorfieldandselectacolorfromthedropdownmenu.; Click EDITtoconfirmthechange.; Navigatetothe Mailsectionfromtheleftsidebar.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[45]"", ""qa_type"": ""single-hop""}",user_guide,[45],single-hop
How can a user deleting folder in the Carbonio web client?,"Navigatetothe Mailsectionfromtheleftsidebar.; Right-clickonafolder.; Select Deletefromthedropdownmenu.; Finally,click OK toconfirm.; Navigatetothe Mailsectionfromtheleftsidebar.; Right-clickonafolder.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[46]"", ""qa_type"": ""single-hop""}",user_guide,[46],single-hop
How can a user sharing an email folder with a colleague in the Carbonio web client?,"Navigatetothe Mailssectionfromtheleftsidebar.; Right-clickontheemailfolderyouwishtoshare.; Fromthedrop-downmenuselect Share folder.; Fromthe Share withfield,select Internal Usersor Groups.; Entertheemailaddressesofyourcolleagueswithwhomyouwishtosharethefolderintothe Recipients’ e-mail; Selectthe role fromthe Rolefield.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[48]"", ""qa_type"": ""single-hop""}",user_guide,[48],single-hop
How can a user sharing an email folder with external users in the Carbonio web client?,"Navigatetothe Mailssectionfromtheleftsidebar.; Right-clickontheemailfolderyouwishtoshare.; Fromthedrop-downmenuselect Share folder.; Fromthe Sharewithfield,select Public(viewonly,nopasswordrequired).; Entertheemailaddressesofrecipientsintothe Recipients’ e-mail addresses field.; Clickthe SHARE FOLDERbutton.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[49]"", ""qa_type"": ""single-hop""}",user_guide,[49],single-hop
How can a user adding colleagues to a shared email folder in the Carbonio web client?,Right-clickontheemailfolderyouwishtoaddcolleagues.; Fromthedrop-downmenuselect Edit.; Clickthe ADDSHAREbutton.; Entertheemailaddressesofyourcolleagueswithwhomyouwishtosharethefolderintothe Recipients’ e-mail; Selectthe rolefromthe Rolefield.; Clickthe SHARE FOLDERbutton.,[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[50]"", ""qa_type"": ""single-hop""}",user_guide,[50],single-hop
How can a user editing the roles for a shared email folder in the Carbonio web client?,"Right-clickontheemailfolderyouwishtoedit.; Fromthedrop-downmenuselect Edit.; Underthe Sharingofthisfoldersection,click EDIT.; Selectthe rolefromthe Rolefield.; Clickthe EDIT SHAREbutton.; Navigatetothe Mailssectionfromtheleftsidebar.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[51]"", ""qa_type"": ""single-hop""}",user_guide,[51],single-hop
How can a user email check frequency in the Carbonio web client?,"Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.; Under Displaying Messages,clickon Checknewe-mail.; Fromthedrop-downmenu,choosehowoftenyouwouldliketocheckfornewmail.; Clickthe SAVEbuttoninthetoprightcorner.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[53]"", ""qa_type"": ""single-hop""}",user_guide,[53],single-hop
How can a user email notiﬁcation in the Carbonio web client?,"Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.; Under Arrival Notifications,youwillseedifferentnotificationoptions.; Checktheboxfor Show a popup notificationifyoupreferawindowpop-upwhenreceivinganewemail.; Check the box for the Play audio hint when new notification appearsif you prefer an audible notification for; Clickthe SAVEbuttoninthetoprightcorner.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[54]"", ""qa_type"": ""single-hop""}",user_guide,[54],single-hop
How can a user marking an email as spam in the Carbonio web client?,"Right-clickontheemailyouwishtomarkasspam.; Fromthemenuthatappears,select Markasspam.; Youremailwillbeautomaticallymovedtoyour Junk Folder.; Clickonthe Mailsintheleftsidebar.; Right-clickonthe Junk folder.; Select Wipe Folderfromthemenu.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[55]"", ""qa_type"": ""single-hop""}",user_guide,[55],single-hop
How can a user marking email as not spam in the Carbonio web client?,"Gotoyour Junk folder.; Right-clickontheemailyouwishtomarkasnotspam.; Fromthemenuthatappears,select Not spam.; Youremailwillbeautomaticallymovedtotheintendedfolder.; Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[56]"", ""qa_type"": ""single-hop""}",user_guide,[56],single-hop
How can a user creating an out-of-oﬃce email in the Carbonio web client?,"Clickonthe Settings(gearicon)intheleftsidebar.; Select General Settings.; Under Outof Office Settings,select Sendauto-repliesfromthefirstdrop-downmenu.; Inthe Auto-Reply Messagefield,typethemessageyouwouldliketobesentoutwhileyouareaway.; Selecttherecipientfromthe External Sendersfield.; Under Time Periodselect Sendauto-repliesduringthefollowingperiodandselectthedates.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[57]"", ""qa_type"": ""single-hop""}",user_guide,[57],single-hop
How can a user showing emails in html or plain text format in the Carbonio web client?,"Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.; Under Displaying Messages,clickonthe Displaymailfield.; Fromthedrop-downmenu,select As HTMLor As text.; Clickthe SAVEbuttoninthetoprightcorner.; Clickonthe Settings(gearicon)intheleftsidebar.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[58]"", ""qa_type"": ""single-hop""}",user_guide,[58],single-hop
How can a user creating a filter in the Carbonio web client?,"Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.; Under Filters, choose either Incoming Message Filtersor Outgoing Message Filtersdepending on whether; Click CREATE.Anewwindowappears.; Insertanameforyourfilterinthe Filter Namefield(e.g.,junkmail); Ensuretomarkthe Active filtercheckboxsothefilterbecomesoperationalimmediatelyuponitscreation.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[60]"", ""qa_type"": ""single-hop""}",user_guide,[60],single-hop
How can a user activating/deactivating a filter in the Carbonio web client?,"Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.; Under Filters,choose Incoming Message Filtersor Outgoing Message Filters,dependingonwhereyourfilter; Selectthefilteryouwanttoapplyfromthelist.; Click APPLY.Anewwindowwillappear.; Fromthedrop-downmenu,selectthefolderyouwantthefiltertobeappliedto.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[63]"", ""qa_type"": ""single-hop""}",user_guide,[63],single-hop
How can a user deleting a filter in the Carbonio web client?,"Performyouredits,ensuringthefilterissetupaccordingtoyourpreferences.; Click SAVEtoconfirmandapplythechanges.; Clickonthe Settings(gearicon)intheleftsidebar.; Select Mails.; Under Filters, choose Incoming Message Filtersor Outgoing Message Filters, depending on where your filter; Selectthefilteryouwanttodeletefromthelist.",[],,"{""intent"": ""user"", ""source_doc"": ""user_guide"", ""source_pages"": ""[64]"", ""qa_type"": ""single-hop""}",user_guide,[64],single-hop
